Width,Height,Occurrences
1200,1058,8
1001,1200,8
1200,409,8
1200,1017,8
984,951,8
1010,1200,8
893,1200,8
1200,2281,8
1200,996,8
923,1200,8
979,1200,8
1200,1165,8
1200,539,8
519,1200,8
1200,1868,8
1200,570,16
1200,629,8
1200,1113,8
872,1200,8
1200,1124,8
1200,2400,8
1200,1578,8
1200,927,8
1200,1052,8
953,1200,8
1104,1200,8
1070,1200,8
